id,Address,found_address,coordinates
154,"անաստաս միկոյան փողոց 64/3, երևան","Armenia, Yerevan, Anastas Mikoyan Street, 64/3","40.21898,44.500814"
156,"էրեբունու փողոց, երևան","Armenia, Yerevan, Erebuni Street","40.141947,44.522311"
157,"ադոնցի փողոց 9, երևան","Armenia, Yerevan, Adonts Street, 9","40.210413,44.526767"
159,"սեբաստիայի փողոց, երևան","Armenia, Yerevan, Sebastia Street","40.176478,44.458396"
160,"դավթաշենի 1-ին զանգված, երևան","Armenia, Yerevan, Davtashen 1st Street","40.216177,44.480432"
161,"քեռու փողոց, երևան","Armenia, Yerevan, Qeri Street","40.199943,44.486792"
162,"ծարավ աղբյուրի փողոց, երևան","Armenia, Yerevan, Tsarav Akhpyur Street","40.218147,44.545838"
163,"չեխովի փողոց, երևան","Armenia, Yerevan, Chekhov Street","40.152549,44.479866"
164,"նալբանդյան փողոց, երևան","Armenia, Yerevan, Nalbandyan Street","40.18148,44.519787"
166,"եզնիկ կողբացու փողոց 1ա, երևան","Armenia, Yerevan, Yeznik Koghbatsi Street, 1A","40.179358,44.507148"
167,"բորյան փողոց, երևան","Armenia, Yerevan, Boryan Street","40.200343,44.559376"
168,"մինաս ավետիսյան փողոց, երևան","Armenia, Yerevan, Hunan Avetisyan Street","40.177601,44.565295"
169,"ավետիս ահարոնյանի փողոց, երևան","Armenia, Yerevan, 1-ya ulitsa","40.222836,44.482794"
170,"դրոյի փողոց, երևան","Armenia, Yerevan, Dro Street","40.204214,44.543008"
171,"թումանյան փողոց, երևան","Armenia, Yerevan, Tumanyan Street","40.182996,44.516589"
173,"վաղարշ վաղարշյան փողոց, երևան","Armenia, Yerevan, Vagharshyan Street","40.200804,44.499997"
177,"լեփսիուսի փողոց, երևան","Armenia, Yerevan, Lepsius Street","40.209455,44.544724"
179,"ալեք մանուկյանի փողոց, երևան","Armenia, Yerevan, Aram Manukyan Street","40.170303,44.453177"
181,"թոթովենցի փողոց, երևան","Armenia, Yerevan, Totovents Street","40.203132,44.568997"
186,"վերին շենգավիթի 2-րդ փողոց, երևան","Armenia, Yerevan, Verin Shengavit 2nd Street","40.154072,44.492945"
189,"անտառային փողոց, երևան","Armenia, Yerevan, Antarayin Street","40.192076,44.514837"
190,"улица молдовакан 43/4, yerevan","Armenia, Yerevan, Moldovakan Street, 43/4","40.198876,44.574153"
191,"հակոբ պարոնյանի փողոց 44, երևան","Armenia, Yerevan, Paronyan Street, 44","40.184849,44.503258"
193,"կարապետ ուլնեցու փողոց, երևան","Armenia, Yerevan, Karapet Ulnetsi Street","40.203869,44.534879"
194,"դավիթ մալյան փողոց 15, երևան","Armenia, Yerevan, Davit Malyan Street, 15","40.207603,44.563382"
198,"դուրյան թաղամաս, երևան","Armenia, Yerevan, The Administrative District of Avan, Duryan District","40.212947,44.581384"
204,"դավիթ բեկի 1-ին փողոց, երևան","Armenia, Yerevan, David-Bek 1st Street","40.148482,44.524817"
208,"դավթաշեն 3-րդ թաղամաս, երևան","Armenia, Yerevan, The Administrative District of Davtashen, Davtashen 3rd Block","40.217058,44.492164"
209,"մինսկի փողոց 17, երևան","Armenia, Yerevan, Minsk Street, 17","40.174066,44.574045"
211,"հերացու փողոց, երևան","Armenia, Yerevan, Heratsi Street","40.189155,44.528213"
212,"ծովակալ իսակովի պողոտա, երևան","Armenia, Yerevan, Tsovakal Isakov Avenue","40.157229,44.459896"
213,"շոպրոնի փողոց, երևան","Armenia, Yerevan, Shopron Street","40.186289,44.55881"
216,"խանջյան փողոց, երևան","Armenia, Yerevan, Khanjyan Street","40.176188,44.521458"
217,"եզնիկ կողբացու փողոց, երևան","Armenia, Yerevan, Yeznik Koghbatsi Street","40.181349,44.510723"
218,"նիկողայոս ադոնցի փողոց, երևան","Armenia, Yerevan, Adonts Street","40.212375,44.522967"
220,"աղբյուր սերոբի փողոց, երևան","Armenia, Yerevan, Aghbyur Serob Street","40.197153,44.50386"
222,"վրացական փողոց, երևան","Armenia, Yerevan, Vratsakan Street","40.206914,44.510453"
224,"դավթաշեն 2-րդ թաղամաս, երևան","Armenia, Yerevan, The Administrative District of Davtashen, Davtashen 2nd Block","40.225053,44.495065"
225,"մաշտոցի պողոտա 18, երևան","Armenia, Yerevan, Mashtots Avenue, 18","40.180329,44.507417"
228,"աբովյան փողոց, երևան","Armenia, Yerevan, Abovyan Street","40.184787,44.520137"
229,"դավթաշեն 1-ին թաղամաս, երևան","Armenia, Yerevan, The Administrative District of Davtashen, Davtashen 1st Block","40.220846,44.48875"
230,"բեկնազարյան փողոց 40, երևան","Armenia, Yerevan, Beknazaryan Street, 38/14","40.210881,44.471664"
231,"արգիշտի փողոց, երևան","Armenia, Yerevan, Argishti Street","40.174031,44.503159"
233,"հյուսիսային պողոտա, երևան","Armenia, Yerevan, Northern Avenue","40.182121,44.514613"
235,"շարուրի փողոց, երևան","Armenia, Yerevan, Sharuri Street","40.138782,44.459573"
238,"գրիբոյեդովի փողոց, երևան","Armenia, Yerevan, Griboyedov Street","40.209627,44.514083"
240,"կորյունի փողոց, երևան","Armenia, Yerevan, Koryun Street","40.188811,44.523093"
241,"ամիրյան փողոց, երևան","Armenia, Yerevan, Amiryan Street","40.180371,44.508441"
245,"azatutyan ave, yerevan","Armenia, Yerevan, Azatutyan Avenue","40.203553,44.523838"
248,"վարդանանց փողոց 26, երևան","Armenia, Yerevan, Vardanants Street, 26","40.171048,44.521458"
249,"սիմոն վրացյանի փողոց, երևան","Armenia, Yerevan, 1-ya ulitsa","40.222836,44.482794"
250,"ավան-առինջ 1-ին միկրոշրջան, երևան","Armenia, Yerevan, The Administrative District of Avan, Avan-Arinj 1st Microdistrict","40.220935,44.570901"
251,"գայի պողոտա, երևան","Armenia, Yerevan, Gai Avenue","40.19849,44.56729"
252,"rubinyants st 23, yerevan","Armenia, Yerevan, Rubinyants Street, 23","40.204131,44.549162"
253,"ռուբինյանց փողոց, երևան","Armenia, Yerevan, Rubinyants Street","40.203925,44.549871"
257,"լվովյան փողոցի նրբանցք, երևան","Armenia, Yerevan, Lvovyan Street Lane","40.201576,44.561064"
259,"պուշկինի փողոց 1, երևան","Armenia, Yerevan, Pushkin Street, 1","40.179764,44.516382"
260,"սարյան փողոց 2, երևան","Armenia, Yerevan, Saryan Street, 2","40.187495,44.509663"
262,"բագրատունյաց փողոց 22/3, երևան","Armenia, Yerevan, Bagratunyats Street, 22/3","40.14955,44.484824"
264,"ղափանցյան փողոց, երևան","Armenia, Yerevan, Ghapantsyan Street","40.219627,44.525123"
266,"շիրազի փողոց, երևան","Armenia, Yerevan, Shiraz Street","40.204717,44.461549"
269,"վերին անտառային փողոց, երևան","Armenia, Yerevan, Verin Antarayin Street","40.197422,44.510283"
274,"սևանի փողոց, երևան","Armenia, Yerevan, Sevan Street","40.158628,44.506923"
276,"զորավար անդրանիկի փողոց 117, երևան",,
281,"դավիթ մալյան փողոց, երևան","Armenia, Yerevan, Davit Malyan Street","40.209249,44.567757"
282,"խորենացու փողոց, երևան","Armenia, Yerevan, Khorenatsi Street","40.165969,44.515071"
284,"գարեգին նժդեհի փողոց 23/3, երևան","Armenia, Yerevan, Garegin Nzhdeh Street, 23/3","40.152969,44.494742"
286,"պուշկինի փողոց, երևան","Armenia, Yerevan, Pushkin Street","40.182913,44.512349"
292,"մարգարյան փողոց , երևան","Armenia, Yerevan, Margaryan Street","40.205082,44.475769"
295,"կարպ խաչվանքյանի փողոց 3/2, երևան","Armenia, Yerevan, Karp Khachvankyan Street, 3/2","40.2015,44.512528"
296,"արգիշտիի փողոց, երևան","Armenia, Yerevan, Argishti Street","40.174031,44.503159"
300,"այգեձորի փողոց, երևան","Armenia, Yerevan, Aygedzor Street","40.191553,44.498398"
301,"ներսիսյան փողոցի փակուղի, երևան","Armenia, Yerevan, Shirak Street 1st Deadlock","40.147986,44.444751"
303,"արամի փողոց 3, երևան","Armenia, Yerevan, Aram Street, 3","40.17953,44.513472"
305,"մարգարյան փողոց 37, երևան","Armenia, Yerevan, Margaryan Street, 37","40.203945,44.470757"
306,"անաստաս միկոյանի փողոց, երևան","Armenia, Yerevan, Tigran Mets Avenue","40.166182,44.513112"
308,"կոմիտասի պողոտա 3, երևան","Armenia, Yerevan, Komitas Avenue, 3","40.201948,44.495739"
309,"նանսենի փողոց 21/1, երևան","Armenia, Yerevan, Nansen Street, 21/1","40.19663,44.557444"
312,"գալշոյան փողոց 19, երևան","Armenia, Yerevan, Galshoyan Street, 19","40.180963,44.566535"
315,"մարգարյան փողոցի 1-ին նրբանցք, երևան","Armenia, Yerevan, Margaryan Street 1st Lane","40.206638,44.474736"
320,"խաղաղ դոնի փողոց, երևան","Armenia, Yerevan, Khaghagh Doni Street","40.128357,44.526713"
325,"գրիբոյեդովի փողոց 21/4, երևան","Armenia, Yerevan, Griboyedov Street, 21/4","40.21292,44.513705"
330,"միքայել չայլախյան փողոց, երևան","Armenia, Yerevan, Mikhail Chailakhyan Street","40.181025,44.528635"
333,"կիևյան փողոց, երևան","Armenia, Yerevan, Kievyan Street","40.195059,44.488427"
339,"տիգրան մեծի 1-ին նրբանցք, երևան","Armenia, Yerevan, The Administrative District of Kentron, Poqr Kentron District, Old Yerevan Quarter","40.180102,44.512268"
340,"ներքին շենգավիթի 11-րդ փողոց, երևան","Armenia, Yerevan, Vahram Aristakesyan Street","40.13901,44.484429"
343,"բակունցի փողոց, երևան","Armenia, Yerevan, Bakunts Street","40.190981,44.571557"
344,"արաբկիրի 21-րդ փողոց, երևան","Armenia, Yerevan, Ruben Sevak Street","40.201507,44.508962"
345,"հրաչյա աճառյանի փողոց, երևան","Armenia, Yerevan, Acharyan Street","40.223249,44.56022"
353,"երվանդ քոչարի փողոց 19, երևան","Armenia, Yerevan, Yervand Kochar Street, 19","40.169773,44.517128"
354,"նոր արեշի 15-րդ փողոց, երևան","Armenia, Yerevan, Nor Aresh 15th Street","40.13901,44.516032"
356,"օրբելի եղբայրների փողոց, երևան","Armenia, Yerevan, Orbeli Brothers Street","40.193365,44.492649"
359,"պարոնյան փողոց 2, երևան","Armenia, Yerevan, Paronyan Street, 2","40.178056,44.503285"
366,"վիկտոր համբարձումյանի փողոց 9, երևան","Armenia, Armavir Region, Village of Parakar, Viktor Hambardzumyan Street","40.160993,44.393008"
367,"nikoghayos adonts street, yerevan","Armenia, Yerevan, Adonts Street","40.212375,44.522967"
