Type,New_building,nFloor,Floor,Height,Sqm,Rooms,Bathrooms,Renovation,Balcony,District,Price_USD
0,0,4,2,2.8,76,3,1,3.0,0,Աջափնյակ,105000.0
0,0,5,2,3.2,39,2,1,4.0,1,Կենտրոն,135000.0
2,1,12,2,3.0,63,2,1,3.0,1,Աջափնյակ,100000.0
0,0,5,4,3.2,110,3,2,2.0,2,Կենտրոն,450000.0
1,0,9,1,2.75,70,3,1,4.0,0,Մալաթիա-Սեբաստիա,125000.0
0,0,5,5,2.75,104,3,1,1.5,2,Աջափնյակ,130000.0
0,0,5,2,2.5,22,1,1,2.0,0,Շենգավիթ,42000.0
1,0,5,2,2.75,54,3,1,3.0,0,Քանաքեռ-Զեյթուն,80000.0
0,0,4,2,3.2,77,2,1,0.5,0,Կենտրոն,155000.0
0,0,4,3,3.2,75,3,1,4.0,2,Կենտրոն,210000.0
0,0,5,5,2.75,64,3,1,2.0,0,Արաբկիր,117000.0
2,1,13,4,3.0,143,3,2,3.0,2,Կենտրոն,640000.0
2,0,5,2,2.8,62,2,1,0.5,0,Նոր Նորք,99000.0
2,1,15,8,3.0,74,3,1,0.0,2,Դավթաշեն,125000.0
2,1,15,12,3.0,118,3,2,2.0,2,Կենտրոն,730000.0
1,0,9,8,2.75,114,4,1,1.5,2,Էրեբունի,130000.0
0,0,7,5,2.8,98,4,1,3.0,2,Արաբկիր,160000.0
1,0,9,9,2.8,75,3,1,3.0,1,Մալաթիա-Սեբաստիա,85000.0
1,0,10,8,2.75,72,2,1,1.0,3,Մալաթիա-Սեբաստիա,87000.0
1,0,16,6,2.8,91,3,2,1.0,3,Դավթաշեն,116000.0
1,0,9,9,2.8,81,3,1,0.5,2,Արաբկիր,105000.0
2,1,16,2,3.0,85,4,1,2.0,2,Քանաքեռ-Զեյթուն,170000.0
0,0,5,5,2.75,45,1,1,1.5,0,Շենգավիթ,73000.0
0,0,6,2,2.75,59,3,1,2.0,1,Կենտրոն,235000.0
1,0,4,1,2.75,128,3,2,2.0,1,Շենգավիթ,110000.0
1,0,11,5,2.75,86,3,1,2.0,3,Կենտրոն,352003.0
0,0,4,2,2.7,74,3,1,0.5,0,Նոր Նորք,90000.0
0,0,4,4,2.75,54,2,1,2.0,0,Նոր Նորք,85000.0
0,0,5,2,2.75,100,3,2,0.5,0,Դավթաշեն,125000.0
0,0,4,4,2.7,72,3,1,2.0,0,Քանաքեռ-Զեյթուն,95000.0
2,1,19,3,3.0,70,2,1,0.0,2,Արաբկիր,140000.0
0,0,5,4,2.8,58,2,2,0.5,2,Արաբկիր,95000.0
2,1,8,4,2.8,44,2,1,2.0,0,Արաբկիր,115000.0
0,0,5,3,2.75,75,3,1,1.5,0,Արաբկիր,130000.0
0,0,5,3,3.0,65,2,2,2.0,2,Արաբկիր,120000.0
1,0,4,3,3.0,73,3,1,0.0,3,Քանաքեռ-Զեյթուն,76000.0
2,1,11,5,3.0,140,4,2,4.0,1,Մալաթիա-Սեբաստիա,450000.0
2,1,13,5,3.0,71,2,2,2.0,3,Նոր Նորք,120000.0
1,0,5,1,2.7,38,2,1,2.0,1,Նոր Նորք,67000.0
2,1,16,15,2.75,115,3,2,3.0,2,Արաբկիր,250000.0
1,0,9,9,2.75,51,1,1,0.5,0,Մալաթիա-Սեբաստիա,70000.0
2,1,12,6,3.0,98,4,3,4.0,1,Կենտրոն,620000.0
2,1,16,8,3.0,63,2,1,0.0,3,Քանաքեռ-Զեյթուն,122000.0
1,0,14,5,2.8,78,3,1,0.5,3,Շենգավիթ,98000.0
0,0,5,5,3.2,71,3,1,0.5,2,Արաբկիր,135000.0
1,0,10,5,2.8,42,2,1,3.0,1,Շենգավիթ,74000.0
2,1,5,2,3.0,105,4,1,2.0,2,Կենտրոն,420000.0
2,1,9,8,3.0,83,4,1,2.0,3,Նոր Նորք,120000.0
2,1,12,3,3.2,106,4,2,0.0,1,Կենտրոն,260000.0
2,1,16,6,3.0,82,3,2,0.0,2,Դավթաշեն,132000.0
2,1,16,9,3.0,105,3,2,2.0,3,Քանաքեռ-Զեյթուն,250000.0
1,0,12,11,2.8,91,3,1,0.5,0,Ավան,135000.0
0,0,5,1,2.8,78,1,2,3.0,1,Արաբկիր,124000.0
1,0,14,5,2.75,78,3,1,0.0,0,Շենգավիթ,95000.0
2,1,13,5,3.0,76,3,2,0.0,2,Արաբկիր,170000.0
1,0,9,5,2.8,85,4,1,1.5,3,Ավան,113000.0
0,0,5,3,3.0,92,3,1,1.5,2,Կենտրոն,250000.0
2,1,9,2,3.0,69,3,2,3.0,1,Կենտրոն,285000.0
2,1,16,9,3.0,75,2,2,2.0,2,Արաբկիր,190000.0
0,0,4,3,2.75,55,2,1,3.0,2,Կենտրոն,159000.0
1,0,16,13,2.75,41,1,1,1.0,0,Աջափնյակ,67000.0
2,1,6,3,3.0,91,3,2,3.0,2,Էրեբունի,180000.0
1,0,4,3,2.6,73,3,1,1.0,2,Քանաքեռ-Զեյթուն,93000.0
1,0,9,5,2.75,50,2,1,2.0,0,Շենգավիթ,107000.0
0,0,5,3,3.0,89,3,1,1.0,3,Կենտրոն,390000.0
1,0,9,3,2.8,33,2,1,3.0,2,Նոր Նորք,42000.0
1,0,9,3,2.75,98,3,1,3.0,0,Դավթաշեն,150000.0
0,0,7,2,2.75,52,2,1,0.5,0,Կենտրոն,88000.0
1,0,9,8,2.8,87,4,1,2.0,3,Մալաթիա-Սեբաստիա,125000.0
0,0,5,4,2.8,77,3,1,1.5,3,Նոր Նորք,93000.0
1,0,14,13,2.75,68,2,2,1.0,0,Մալաթիա-Սեբաստիա,83000.0
1,0,9,5,2.8,97,4,1,4.0,2,Կենտրոն,310000.0
1,0,11,11,2.8,72,2,1,0.5,2,Կենտրոն,155000.0
2,1,14,6,3.0,109,4,2,0.0,2,Արաբկիր,185000.0
0,0,5,4,2.75,114,4,1,3.0,3,Արաբկիր,210000.0
1,0,5,2,2.75,61,2,2,2.0,0,Նոր Նորք,85000.0
2,1,18,15,3.0,84,3,2,1.0,3,Արաբկիր,195000.0
1,0,14,2,2.8,120,4,1,1.5,3,Դավթաշեն,135000.0
0,0,4,4,3.2,104,4,1,0.5,2,Կենտրոն,370000.0
0,0,5,2,2.8,76,3,1,1.5,0,Արաբկիր,123000.0
0,0,5,4,3.2,114,3,2,1.5,2,Կենտրոն,450000.0
