Price,Type,New_building,nFloor,Floor,Height,Sqm,Rooms,Bathrooms,Renovation,Balcony,Currency,District
95000.0,Պանելային,Ոչ,10,9,2.75,55,3,1,Դիզայներական ոճով վերանորոգված,Փակ պատշգամբ,$,Քանաքեռ-Զեյթուն
650000.0,Մոնոլիտ,Այո,8,3,3.0,162,4,2,Կապիտալ վերանորոգված,Մի քանի պատշգամբ,$,Կենտրոն
115000.0,Մոնոլիտ,Ոչ,9,6,2.75,67,2,1,Կապիտալ վերանորոգված,Առկա չէ,$,Մալաթիա-Սեբաստիա
117000.0,Պանելային,Ոչ,9,6,2.8,87,3,1,Կապիտալ վերանորոգված,Բաց պատշգամբ,$,Մալաթիա-Սեբաստիա
140000.0,Պանելային,Ոչ,9,4,2.8,85,3,1,Կապիտալ վերանորոգված,Բաց պատշգամբ,$,Մալաթիա-Սեբաստիա
105000.0,Պանելային,Ոչ,9,3,2.75,58,2,1,Դիզայներական ոճով վերանորոգված,Փակ պատշգամբ,$,Նոր Նորք
105000.0,Քարե,Ոչ,4,2,2.8,76,3,1,Եվրովերանորոգված,Փակ պատշգամբ,$,Աջափնյակ
135000.0,Քարե,Ոչ,5,2,3.2,39,2,1,Դիզայներական ոճով վերանորոգված,Առկա չէ,$,Կենտրոն
100000.0,Մոնոլիտ,Այո,12,2,3.0,63,2,1,Եվրովերանորոգված,Առկա չէ,$,Աջափնյակ
450000.0,Քարե,Ոչ,5,4,3.2,110,3,2,Կապիտալ վերանորոգված,Բաց պատշգամբ,$,Կենտրոն
125000.0,Պանելային,Ոչ,9,1,2.75,70,3,1,Դիզայներական ոճով վերանորոգված,Փակ պատշգամբ,$,Մալաթիա-Սեբաստիա
130000.0,Քարե,Ոչ,5,5,2.75,104,3,1,Կոսմետիկ վերանորոգում,Բաց պատշգամբ,$,Աջափնյակ
42000.0,Քարե,Ոչ,5,2,2.5,22,1,1,Կապիտալ վերանորոգված,Փակ պատշգամբ,$,Շենգավիթ
80000.0,Պանելային,Ոչ,5,2,2.75,54,3,1,Եվրովերանորոգված,Փակ պատշգամբ,$,Քանաքեռ-Զեյթուն
155000.0,Քարե,Ոչ,4,2,3.2,77,2,1,Հին վերանորոգում,Փակ պատշգամբ,$,Կենտրոն
210000.0,Քարե,Ոչ,4,3,3.2,75,3,1,Դիզայներական ոճով վերանորոգված,Բաց պատշգամբ,$,Կենտրոն
117000.0,Քարե,Ոչ,5,5,2.75,64,3,1,Կապիտալ վերանորոգված,Փակ պատշգամբ,$,Արաբկիր
640000.0,Մոնոլիտ,Այո,13,4,3.0,143,3,2,Եվրովերանորոգված,Բաց պատշգամբ,$,Կենտրոն
99000.0,Մոնոլիտ,Ոչ,5,2,2.8,62,2,1,Հին վերանորոգում,Փակ պատշգամբ,$,Նոր Նորք
125000.0,Մոնոլիտ,Այո,15,8,3.0,74,3,1,Չվերանորոգված,Բաց պատշգամբ,$,Դավթաշեն
730000.0,Մոնոլիտ,Այո,15,12,3.0,118,3,2,Կապիտալ վերանորոգված,Բաց պատշգամբ,$,Կենտրոն
130000.0,Պանելային,Ոչ,9,8,2.75,114,4,1,Կոսմետիկ վերանորոգում,Բաց պատշգամբ,$,Էրեբունի
160000.0,Քարե,Ոչ,7,5,2.8,98,4,1,Եվրովերանորոգված,Բաց պատշգամբ,$,Արաբկիր
85000.0,Պանելային,Ոչ,9,9,2.8,75,3,1,Եվրովերանորոգված,Առկա չէ,$,Մալաթիա-Սեբաստիա
87000.0,Պանելային,Ոչ,10,8,2.75,72,2,1,Մասնակի վերանորոգում,Մի քանի պատշգամբ,$,Մալաթիա-Սեբաստիա
116000.0,Պանելային,Ոչ,16,6,2.8,91,3,2,Մասնակի վերանորոգում,Մի քանի պատշգամբ,$,Դավթաշեն
105000.0,Պանելային,Ոչ,9,9,2.8,81,3,1,Հին վերանորոգում,Բաց պատշգամբ,$,Արաբկիր
170000.0,Մոնոլիտ,Այո,16,2,3.0,85,4,1,Կապիտալ վերանորոգված,Բաց պատշգամբ,$,Քանաքեռ-Զեյթուն
73000.0,Քարե,Ոչ,5,5,2.75,45,1,1,Կոսմետիկ վերանորոգում,Փակ պատշգամբ,$,Շենգավիթ
235000.0,Քարե,Ոչ,6,2,2.75,59,3,1,Կապիտալ վերանորոգված,Առկա չէ,$,Կենտրոն
110000.0,Պանելային,Ոչ,4,1,2.75,128,3,2,Կապիտալ վերանորոգված,Առկա չէ,$,Շենգավիթ
135000000.0,Պանելային,Ոչ,11,5,2.75,86,3,1,Կապիտալ վերանորոգված,Մի քանի պատշգամբ,֏,Կենտրոն
90000.0,Քարե,Ոչ,4,2,2.7,74,3,1,Հին վերանորոգում,Փակ պատշգամբ,$,Նոր Նորք
85000.0,Քարե,Ոչ,4,4,2.75,54,2,1,Կապիտալ վերանորոգված,Փակ պատշգամբ,$,Նոր Նորք
125000.0,Քարե,Ոչ,5,2,2.75,100,3,2,Հին վերանորոգում,Փակ պատշգամբ,$,Դավթաշեն
95000.0,Քարե,Ոչ,4,4,2.7,72,3,1,Կապիտալ վերանորոգված,Փակ պատշգամբ,$,Քանաքեռ-Զեյթուն
140000.0,Մոնոլիտ,Այո,19,3,3.0,70,2,1,Չվերանորոգված,Բաց պատշգամբ,$,Արաբկիր
95000.0,Քարե,Ոչ,5,4,2.8,58,2,2,Հին վերանորոգում,Բաց պատշգամբ,$,Արաբկիր
115000.0,Մոնոլիտ,Այո,8,4,2.8,44,2,1,Կապիտալ վերանորոգված,Փակ պատշգամբ,$,Արաբկիր
130000.0,Քարե,Ոչ,5,3,2.75,75,3,1,Կոսմետիկ վերանորոգում,Փակ պատշգամբ,$,Արաբկիր
120000.0,Քարե,Ոչ,5,3,3.0,65,2,2,Կապիտալ վերանորոգված,Բաց պատշգամբ,$,Արաբկիր
76000.0,Պանելային,Ոչ,4,3,3.0,73,3,1,Չվերանորոգված,Մի քանի պատշգամբ,$,Քանաքեռ-Զեյթուն
450000.0,Մոնոլիտ,Այո,11,5,3.0,140,4,2,Դիզայներական ոճով վերանորոգված,Առկա չէ,$,Մալաթիա-Սեբաստիա
120000.0,Մոնոլիտ,Այո,13,5,3.0,71,2,2,Կապիտալ վերանորոգված,Մի քանի պատշգամբ,$,Նոր Նորք
67000.0,Պանելային,Ոչ,5,1,2.7,38,2,1,Կապիտալ վերանորոգված,Առկա չէ,$,Նոր Նորք
250000.0,Մոնոլիտ,Այո,16,15,2.75,115,3,2,Եվրովերանորոգված,Բաց պատշգամբ,$,Արաբկիր
70000.0,Պանելային,Ոչ,9,9,2.75,51,1,1,Հին վերանորոգում,Փակ պատշգամբ,$,Մալաթիա-Սեբաստիա
620000.0,Մոնոլիտ,Այո,12,6,3.0,98,4,3,Դիզայներական ոճով վերանորոգված,Առկա չէ,$,Կենտրոն
122000.0,Մոնոլիտ,Այո,16,8,3.0,63,2,1,Չվերանորոգված,Մի քանի պատշգամբ,$,Քանաքեռ-Զեյթուն
98000.0,Պանելային,Ոչ,14,5,2.8,78,3,1,Հին վերանորոգում,Մի քանի պատշգամբ,$,Շենգավիթ
135000.0,Քարե,Ոչ,5,5,3.2,71,3,1,Հին վերանորոգում,Բաց պատշգամբ,$,Արաբկիր
74000.0,Պանելային,Ոչ,10,5,2.8,42,2,1,Եվրովերանորոգված,Առկա չէ,$,Շենգավիթ
420000.0,Մոնոլիտ,Այո,5,2,3.0,105,4,1,Կապիտալ վերանորոգված,Բաց պատշգամբ,$,Կենտրոն
120000.0,Մոնոլիտ,Այո,9,8,3.0,83,4,1,Կապիտալ վերանորոգված,Մի քանի պատշգամբ,$,Նոր Նորք
260000.0,Մոնոլիտ,Այո,12,3,3.2,106,4,2,Չվերանորոգված,Առկա չէ,$,Կենտրոն
132000.0,Մոնոլիտ,Այո,16,6,3.0,82,3,2,Չվերանորոգված,Բաց պատշգամբ,$,Դավթաշեն
250000.0,Մոնոլիտ,Այո,16,9,3.0,105,3,2,Կապիտալ վերանորոգված,Մի քանի պատշգամբ,$,Քանաքեռ-Զեյթուն
135000.0,Պանելային,Ոչ,12,11,2.8,91,3,1,Հին վերանորոգում,Փակ պատշգամբ,$,Ավան
124000.0,Քարե,Ոչ,5,1,2.8,78,1,2,Եվրովերանորոգված,Առկա չէ,$,Արաբկիր
95000.0,Պանելային,Ոչ,14,5,2.75,78,3,1,Չվերանորոգված,Փակ պատշգամբ,$,Շենգավիթ
170000.0,Մոնոլիտ,Այո,13,5,3.0,76,3,2,Չվերանորոգված,Բաց պատշգամբ,$,Արաբկիր
113000.0,Պանելային,Ոչ,9,5,2.8,85,4,1,Կոսմետիկ վերանորոգում,Մի քանի պատշգամբ,$,Ավան
250000.0,Քարե,Ոչ,5,3,3.0,92,3,1,Կոսմետիկ վերանորոգում,Բաց պատշգամբ,$,Կենտրոն
285000.0,Մոնոլիտ,Այո,9,2,3.0,69,3,2,Եվրովերանորոգված,Առկա չէ,$,Կենտրոն
190000.0,Մոնոլիտ,Այո,16,9,3.0,75,2,2,Կապիտալ վերանորոգված,Բաց պատշգամբ,$,Արաբկիր
159000.0,Քարե,Ոչ,4,3,2.75,55,2,1,Եվրովերանորոգված,Բաց պատշգամբ,$,Կենտրոն
67000.0,Պանելային,Ոչ,16,13,2.75,41,1,1,Մասնակի վերանորոգում,Փակ պատշգամբ,$,Աջափնյակ
180000.0,Մոնոլիտ,Այո,6,3,3.0,91,3,2,Եվրովերանորոգված,Բաց պատշգամբ,$,Էրեբունի
93000.0,Պանելային,Ոչ,4,3,2.6,73,3,1,Մասնակի վերանորոգում,Բաց պատշգամբ,$,Քանաքեռ-Զեյթուն
107000.0,Պանելային,Ոչ,9,5,2.75,50,2,1,Կապիտալ վերանորոգված,Փակ պատշգամբ,$,Շենգավիթ
390000.0,Քարե,Ոչ,5,3,3.0,89,3,1,Մասնակի վերանորոգում,Մի քանի պատշգամբ,$,Կենտրոն
320000.0,Մոնոլիտ,Այո,12,3,3.0,150,4,2,Կապիտալ վերանորոգված,Բաց պատշգամբ,$,Դավթաշեն
42000.0,Պանելային,Ոչ,9,3,2.8,33,2,1,Եվրովերանորոգված,Բաց պատշգամբ,$,Նոր Նորք
150000.0,Պանելային,Ոչ,9,3,2.75,98,3,1,Եվրովերանորոգված,Փակ պատշգամբ,$,Դավթաշեն
88000.0,Քարե,Ոչ,7,2,2.75,52,2,1,Հին վերանորոգում,Փակ պատշգամբ,$,Կենտրոն
125000.0,Պանելային,Ոչ,9,8,2.8,87,4,1,Կապիտալ վերանորոգված,Մի քանի պատշգամբ,$,Մալաթիա-Սեբաստիա
93000.0,Քարե,Ոչ,5,4,2.8,77,3,1,Կոսմետիկ վերանորոգում,Մի քանի պատշգամբ,$,Նոր Նորք
